Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_015033625.1	Primary Assembly	37	115919	53.5	CM026619.1	Chromosome			assembled-molecule	216495			TcBrA4_Contig193
GCA_015033625.1	Primary Assembly	38	91428	55	CM026620.1	Chromosome			assembled-molecule	166627			TcBrA4_Contig99
GCA_015033625.1	Primary Assembly	39	87912	54.5	CM026621.1	Chromosome			assembled-molecule	160921			TcBrA4_Contig0
GCA_015033625.1	Primary Assembly	40	82136	53	CM026622.1	Chromosome			assembled-molecule	155078			TcBrA4_Contig104
GCA_015033625.1	Primary Assembly	41	77427	53	CM026623.1	Chromosome			assembled-molecule	146158			TcBrA4_Contig236
GCA_015033625.1	Primary Assembly	42	75186	53	CM026624.1	Chromosome			assembled-molecule	141754			TcBrA4_Contig9
GCA_015033625.1	Primary Assembly	43	75096	53	CM026625.1	Chromosome			assembled-molecule	141550			TcBrA4_Contig66
GCA_015033625.1	Primary Assembly	Un			WNWZ01000002.1	Chromosome			unplaced-scaffold	27086			TcBrA4_Contig101
GCA_015033625.1	Primary Assembly	Un			WNWZ01000003.1	Chromosome			unplaced-scaffold	15041			TcBrA4_Contig102
GCA_015033625.1	Primary Assembly	Un			WNWZ01000004.1	Chromosome			unplaced-scaffold	15017			TcBrA4_Contig103
GCA_015033625.1	Primary Assembly	Un			WNWZ01000006.1	Chromosome			unplaced-scaffold	26761			TcBrA4_Contig105
GCA_015033625.1	Primary Assembly	Un			WNWZ01000007.1	Chromosome			unplaced-scaffold	26926			TcBrA4_Contig106
GCA_015033625.1	Primary Assembly	Un			WNWZ01000008.1	Chromosome			unplaced-scaffold	19019			TcBrA4_Contig107
GCA_015033625.1	Primary Assembly	Un			WNWZ01000009.1	Chromosome			unplaced-scaffold	28291			TcBrA4_Contig10
GCA_015033625.1	Primary Assembly	Un			WNWZ01000010.1	Chromosome			unplaced-scaffold	24713			TcBrA4_Contig110
GCA_015033625.1	Primary Assembly	Un			WNWZ01000011.1	Chromosome			unplaced-scaffold	795			TcBrA4_Contig111
GCA_015033625.1	Primary Assembly	Un			WNWZ01000012.1	Chromosome			unplaced-scaffold	72942			TcBrA4_Contig112
GCA_015033625.1	Primary Assembly	Un			WNWZ01000013.1	Chromosome			unplaced-scaffold	13975			TcBrA4_Contig113
GCA_015033625.1	Primary Assembly	Un			WNWZ01000014.1	Chromosome			unplaced-scaffold	82398			TcBrA4_Contig114
GCA_015033625.1	Primary Assembly	Un			WNWZ01000015.1	Chromosome			unplaced-scaffold	14178			TcBrA4_Contig115
GCA_015033625.1	Primary Assembly	Un			WNWZ01000016.1	Chromosome			unplaced-scaffold	17593			TcBrA4_Contig116
GCA_015033625.1	Primary Assembly	Un			WNWZ01000017.1	Chromosome			unplaced-scaffold	19769			TcBrA4_Contig117
GCA_015033625.1	Primary Assembly	Un			WNWZ01000018.1	Chromosome			unplaced-scaffold	24571			TcBrA4_Contig118
GCA_015033625.1	Primary Assembly	Un			WNWZ01000019.1	Chromosome			unplaced-scaffold	19636			TcBrA4_Contig119
GCA_015033625.1	Primary Assembly	Un			WNWZ01000020.1	Chromosome			unplaced-scaffold	14285			TcBrA4_Contig11
GCA_015033625.1	Primary Assembly	Un			WNWZ01000021.1	Chromosome			unplaced-scaffold	74071			TcBrA4_Contig120
GCA_015033625.1	Primary Assembly	Un			WNWZ01000022.1	Chromosome			unplaced-scaffold	9532			TcBrA4_Contig122
GCA_015033625.1	Primary Assembly	Un			WNWZ01000023.1	Chromosome			unplaced-scaffold	19206			TcBrA4_Contig123
GCA_015033625.1	Primary Assembly	Un			WNWZ01000024.1	Chromosome			unplaced-scaffold	18721			TcBrA4_Contig124
GCA_015033625.1	Primary Assembly	Un			WNWZ01000026.1	Chromosome			unplaced-scaffold	21132			TcBrA4_Contig126
GCA_015033625.1	Primary Assembly	Un			WNWZ01000027.1	Chromosome			unplaced-scaffold	14092			TcBrA4_Contig127
GCA_015033625.1	Primary Assembly	Un			WNWZ01000028.1	Chromosome			unplaced-scaffold	10992			TcBrA4_Contig129
GCA_015033625.1	Primary Assembly	Un			WNWZ01000029.1	Chromosome			unplaced-scaffold	19880			TcBrA4_Contig130
GCA_015033625.1	Primary Assembly	Un			WNWZ01000030.1	Chromosome			unplaced-scaffold	13107			TcBrA4_Contig132
GCA_015033625.1	Primary Assembly	Un			WNWZ01000031.1	Chromosome			unplaced-scaffold	31489			TcBrA4_Contig133
GCA_015033625.1	Primary Assembly	Un			WNWZ01000032.1	Chromosome			unplaced-scaffold	6657			TcBrA4_Contig134
GCA_015033625.1	Primary Assembly	Un			WNWZ01000033.1	Chromosome			unplaced-scaffold	43950			TcBrA4_Contig135
GCA_015033625.1	Primary Assembly	Un			WNWZ01000034.1	Chromosome			unplaced-scaffold	15988			TcBrA4_Contig136
GCA_015033625.1	Primary Assembly	Un			WNWZ01000036.1	Chromosome			unplaced-scaffold	8636			TcBrA4_Contig138
GCA_015033625.1	Primary Assembly	Un			WNWZ01000037.1	Chromosome			unplaced-scaffold	18873			TcBrA4_Contig139
GCA_015033625.1	Primary Assembly	Un			WNWZ01000038.1	Chromosome			unplaced-scaffold	57057			TcBrA4_Contig13
GCA_015033625.1	Primary Assembly	Un			WNWZ01000039.1	Chromosome			unplaced-scaffold	125028			TcBrA4_Contig140
GCA_015033625.1	Primary Assembly	Un			WNWZ01000040.1	Chromosome			unplaced-scaffold	5949			TcBrA4_Contig141
GCA_015033625.1	Primary Assembly	Un			WNWZ01000041.1	Chromosome			unplaced-scaffold	29549			TcBrA4_Contig143
GCA_015033625.1	Primary Assembly	Un			WNWZ01000042.1	Chromosome			unplaced-scaffold	1678			TcBrA4_Contig144
GCA_015033625.1	Primary Assembly	Un			WNWZ01000043.1	Chromosome			unplaced-scaffold	31690			TcBrA4_Contig145
GCA_015033625.1	Primary Assembly	Un			WNWZ01000044.1	Chromosome			unplaced-scaffold	13732			TcBrA4_Contig146
GCA_015033625.1	Primary Assembly	Un			WNWZ01000045.1	Chromosome			unplaced-scaffold	17034			TcBrA4_Contig148
GCA_015033625.1	Primary Assembly	Un			WNWZ01000046.1	Chromosome			unplaced-scaffold	46379			TcBrA4_Contig149
GCA_015033625.1	Primary Assembly	Un			WNWZ01000048.1	Chromosome			unplaced-scaffold	21222			TcBrA4_Contig150
GCA_015033625.1	Primary Assembly	Un			WNWZ01000049.1	Chromosome			unplaced-scaffold	22865			TcBrA4_Contig151
GCA_015033625.1	Primary Assembly	Un			WNWZ01000050.1	Chromosome			unplaced-scaffold	38861			TcBrA4_Contig152
GCA_015033625.1	Primary Assembly	Un			WNWZ01000051.1	Chromosome			unplaced-scaffold	9044			TcBrA4_Contig153
GCA_015033625.1	Primary Assembly	Un			WNWZ01000052.1	Chromosome			unplaced-scaffold	80532			TcBrA4_Contig154
GCA_015033625.1	Primary Assembly	Un			WNWZ01000053.1	Chromosome			unplaced-scaffold	25152			TcBrA4_Contig155
GCA_015033625.1	Primary Assembly	Un			WNWZ01000054.1	Chromosome			unplaced-scaffold	86469			TcBrA4_Contig156
GCA_015033625.1	Primary Assembly	Un			WNWZ01000055.1	Chromosome			unplaced-scaffold	19241			TcBrA4_Contig157
GCA_015033625.1	Primary Assembly	Un			WNWZ01000056.1	Chromosome			unplaced-scaffold	9387			TcBrA4_Contig158
GCA_015033625.1	Primary Assembly	Un			WNWZ01000057.1	Chromosome			unplaced-scaffold	23521			TcBrA4_Contig159
GCA_015033625.1	Primary Assembly	Un			WNWZ01000058.1	Chromosome			unplaced-scaffold	19592			TcBrA4_Contig15
GCA_015033625.1	Primary Assembly	Un			WNWZ01000059.1	Chromosome			unplaced-scaffold	14519			TcBrA4_Contig160
GCA_015033625.1	Primary Assembly	Un			WNWZ01000060.1	Chromosome			unplaced-scaffold	67961			TcBrA4_Contig161
GCA_015033625.1	Primary Assembly	Un			WNWZ01000061.1	Chromosome			unplaced-scaffold	29622			TcBrA4_Contig162
GCA_015033625.1	Primary Assembly	Un			WNWZ01000062.1	Chromosome			unplaced-scaffold	18905			TcBrA4_Contig164
GCA_015033625.1	Primary Assembly	Un			WNWZ01000063.1	Chromosome			unplaced-scaffold	13462			TcBrA4_Contig165
GCA_015033625.1	Primary Assembly	Un			WNWZ01000064.1	Chromosome			unplaced-scaffold	23134			TcBrA4_Contig166
GCA_015033625.1	Primary Assembly	Un			WNWZ01000065.1	Chromosome			unplaced-scaffold	31539			TcBrA4_Contig167
GCA_015033625.1	Primary Assembly	Un			WNWZ01000066.1	Chromosome			unplaced-scaffold	14475			TcBrA4_Contig168
GCA_015033625.1	Primary Assembly	Un			WNWZ01000067.1	Chromosome			unplaced-scaffold	17277			TcBrA4_Contig169
GCA_015033625.1	Primary Assembly	Un			WNWZ01000068.1	Chromosome			unplaced-scaffold	84973			TcBrA4_Contig170
GCA_015033625.1	Primary Assembly	Un			WNWZ01000069.1	Chromosome			unplaced-scaffold	20182			TcBrA4_Contig171
GCA_015033625.1	Primary Assembly	Un			WNWZ01000070.1	Chromosome			unplaced-scaffold	31073			TcBrA4_Contig172
GCA_015033625.1	Primary Assembly	Un			WNWZ01000071.1	Chromosome			unplaced-scaffold	13298			TcBrA4_Contig173
GCA_015033625.1	Primary Assembly	Un			WNWZ01000072.1	Chromosome			unplaced-scaffold	23269			TcBrA4_Contig174
GCA_015033625.1	Primary Assembly	Un			WNWZ01000073.1	Chromosome			unplaced-scaffold	14824			TcBrA4_Contig176
GCA_015033625.1	Primary Assembly	Un			WNWZ01000074.1	Chromosome			unplaced-scaffold	23288			TcBrA4_Contig177
GCA_015033625.1	Primary Assembly	Un			WNWZ01000075.1	Chromosome			unplaced-scaffold	20236			TcBrA4_Contig178
GCA_015033625.1	Primary Assembly	Un			WNWZ01000076.1	Chromosome			unplaced-scaffold	28704			TcBrA4_Contig179
GCA_015033625.1	Primary Assembly	Un			WNWZ01000078.1	Chromosome			unplaced-scaffold	6620			TcBrA4_Contig181
GCA_015033625.1	Primary Assembly	Un			WNWZ01000079.1	Chromosome			unplaced-scaffold	24941			TcBrA4_Contig182
GCA_015033625.1	Primary Assembly	Un			WNWZ01000080.1	Chromosome			unplaced-scaffold	38160			TcBrA4_Contig183
GCA_015033625.1	Primary Assembly	Un			WNWZ01000081.1	Chromosome			unplaced-scaffold	14000			TcBrA4_Contig184
GCA_015033625.1	Primary Assembly	Un			WNWZ01000082.1	Chromosome			unplaced-scaffold	4195			TcBrA4_Contig185
GCA_015033625.1	Primary Assembly	Un			WNWZ01000083.1	Chromosome			unplaced-scaffold	12988			TcBrA4_Contig186
GCA_015033625.1	Primary Assembly	Un			WNWZ01000084.1	Chromosome			unplaced-scaffold	33656			TcBrA4_Contig187
GCA_015033625.1	Primary Assembly	Un			WNWZ01000085.1	Chromosome			unplaced-scaffold	62099			TcBrA4_Contig188
GCA_015033625.1	Primary Assembly	Un			WNWZ01000086.1	Chromosome			unplaced-scaffold	7181			TcBrA4_Contig189
GCA_015033625.1	Primary Assembly	Un			WNWZ01000087.1	Chromosome			unplaced-scaffold	58945			TcBrA4_Contig18
GCA_015033625.1	Primary Assembly	Un			WNWZ01000088.1	Chromosome			unplaced-scaffold	2437			TcBrA4_Contig190
GCA_015033625.1	Primary Assembly	Un			WNWZ01000089.1	Chromosome			unplaced-scaffold	18768			TcBrA4_Contig191
GCA_015033625.1	Primary Assembly	Un			WNWZ01000090.1	Chromosome			unplaced-scaffold	6156			TcBrA4_Contig192
GCA_015033625.1	Primary Assembly	Un			WNWZ01000092.1	Chromosome			unplaced-scaffold	16943			TcBrA4_Contig194
GCA_015033625.1	Primary Assembly	Un			WNWZ01000093.1	Chromosome			unplaced-scaffold	14050			TcBrA4_Contig195
GCA_015033625.1	Primary Assembly	Un			WNWZ01000094.1	Chromosome			unplaced-scaffold	17761			TcBrA4_Contig196
GCA_015033625.1	Primary Assembly	Un			WNWZ01000095.1	Chromosome			unplaced-scaffold	19468			TcBrA4_Contig197
GCA_015033625.1	Primary Assembly	Un			WNWZ01000096.1	Chromosome			unplaced-scaffold	18360			TcBrA4_Contig198
GCA_015033625.1	Primary Assembly	Un			WNWZ01000097.1	Chromosome			unplaced-scaffold	13368			TcBrA4_Contig199
GCA_015033625.1	Primary Assembly	Un			WNWZ01000098.1	Chromosome			unplaced-scaffold	33546			TcBrA4_Contig19
GCA_015033625.1	Primary Assembly	Un			WNWZ01000099.1	Chromosome			unplaced-scaffold	20572			TcBrA4_Contig1
GCA_015033625.1	Primary Assembly	Un			WNWZ01000100.1	Chromosome			unplaced-scaffold	14239			TcBrA4_Contig200
GCA_015033625.1	Primary Assembly	Un			WNWZ01000101.1	Chromosome			unplaced-scaffold	9384			TcBrA4_Contig201
GCA_015033625.1	Primary Assembly	Un			WNWZ01000102.1	Chromosome			unplaced-scaffold	21732			TcBrA4_Contig202
GCA_015033625.1	Primary Assembly	Un			WNWZ01000103.1	Chromosome			unplaced-scaffold	14973			TcBrA4_Contig203
GCA_015033625.1	Primary Assembly	Un			WNWZ01000104.1	Chromosome			unplaced-scaffold	14416			TcBrA4_Contig204
GCA_015033625.1	Primary Assembly	Un			WNWZ01000105.1	Chromosome			unplaced-scaffold	14998			TcBrA4_Contig205
GCA_015033625.1	Primary Assembly	Un			WNWZ01000106.1	Chromosome			unplaced-scaffold	11114			TcBrA4_Contig206
GCA_015033625.1	Primary Assembly	Un			WNWZ01000107.1	Chromosome			unplaced-scaffold	14829			TcBrA4_Contig207
GCA_015033625.1	Primary Assembly	Un			WNWZ01000108.1	Chromosome			unplaced-scaffold	20434			TcBrA4_Contig208
GCA_015033625.1	Primary Assembly	Un			WNWZ01000109.1	Chromosome			unplaced-scaffold	135914			TcBrA4_Contig209
GCA_015033625.1	Primary Assembly	Un			WNWZ01000110.1	Chromosome			unplaced-scaffold	7212			TcBrA4_Contig210
GCA_015033625.1	Primary Assembly	Un			WNWZ01000111.1	Chromosome			unplaced-scaffold	30562			TcBrA4_Contig211
GCA_015033625.1	Primary Assembly	Un			WNWZ01000112.1	Chromosome			unplaced-scaffold	31451			TcBrA4_Contig212
GCA_015033625.1	Primary Assembly	Un			WNWZ01000113.1	Chromosome			unplaced-scaffold	17919			TcBrA4_Contig213
GCA_015033625.1	Primary Assembly	Un			WNWZ01000114.1	Chromosome			unplaced-scaffold	17142			TcBrA4_Contig214
GCA_015033625.1	Primary Assembly	Un			WNWZ01000115.1	Chromosome			unplaced-scaffold	27087			TcBrA4_Contig215
GCA_015033625.1	Primary Assembly	Un			WNWZ01000116.1	Chromosome			unplaced-scaffold	23701			TcBrA4_Contig216
GCA_015033625.1	Primary Assembly	Un			WNWZ01000117.1	Chromosome			unplaced-scaffold	18584			TcBrA4_Contig217
GCA_015033625.1	Primary Assembly	Un			WNWZ01000118.1	Chromosome			unplaced-scaffold	16511			TcBrA4_Contig218
GCA_015033625.1	Primary Assembly	Un			WNWZ01000119.1	Chromosome			unplaced-scaffold	14014			TcBrA4_Contig219
GCA_015033625.1	Primary Assembly	Un			WNWZ01000121.1	Chromosome			unplaced-scaffold	67617			TcBrA4_Contig220
GCA_015033625.1	Primary Assembly	Un			WNWZ01000122.1	Chromosome			unplaced-scaffold	18740			TcBrA4_Contig221
GCA_015033625.1	Primary Assembly	Un			WNWZ01000123.1	Chromosome			unplaced-scaffold	17391			TcBrA4_Contig222
GCA_015033625.1	Primary Assembly	Un			WNWZ01000124.1	Chromosome			unplaced-scaffold	16083			TcBrA4_Contig223
GCA_015033625.1	Primary Assembly	Un			WNWZ01000125.1	Chromosome			unplaced-scaffold	30842			TcBrA4_Contig224
GCA_015033625.1	Primary Assembly	Un			WNWZ01000126.1	Chromosome			unplaced-scaffold	19865			TcBrA4_Contig226
GCA_015033625.1	Primary Assembly	Un			WNWZ01000127.1	Chromosome			unplaced-scaffold	19291			TcBrA4_Contig227
GCA_015033625.1	Primary Assembly	Un			WNWZ01000128.1	Chromosome			unplaced-scaffold	15377			TcBrA4_Contig228
GCA_015033625.1	Primary Assembly	Un			WNWZ01000129.1	Chromosome			unplaced-scaffold	10156			TcBrA4_Contig229
GCA_015033625.1	Primary Assembly	Un			WNWZ01000130.1	Chromosome			unplaced-scaffold	44726			TcBrA4_Contig22
GCA_015033625.1	Primary Assembly	Un			WNWZ01000131.1	Chromosome			unplaced-scaffold	44998			TcBrA4_Contig230
GCA_015033625.1	Primary Assembly	Un			WNWZ01000132.1	Chromosome			unplaced-scaffold	14178			TcBrA4_Contig231
GCA_015033625.1	Primary Assembly	Un			WNWZ01000133.1	Chromosome			unplaced-scaffold	25930			TcBrA4_Contig232
GCA_015033625.1	Primary Assembly	Un			WNWZ01000134.1	Chromosome			unplaced-scaffold	15101			TcBrA4_Contig233
GCA_015033625.1	Primary Assembly	Un			WNWZ01000135.1	Chromosome			unplaced-scaffold	29694			TcBrA4_Contig234
GCA_015033625.1	Primary Assembly	Un			WNWZ01000136.1	Chromosome			unplaced-scaffold	6348			TcBrA4_Contig235
GCA_015033625.1	Primary Assembly	Un			WNWZ01000138.1	Chromosome			unplaced-scaffold	19586			TcBrA4_Contig237
GCA_015033625.1	Primary Assembly	Un			WNWZ01000139.1	Chromosome			unplaced-scaffold	16503			TcBrA4_Contig238
GCA_015033625.1	Primary Assembly	Un			WNWZ01000140.1	Chromosome			unplaced-scaffold	24070			TcBrA4_Contig239
GCA_015033625.1	Primary Assembly	Un			WNWZ01000141.1	Chromosome			unplaced-scaffold	18834			TcBrA4_Contig23
GCA_015033625.1	Primary Assembly	Un			WNWZ01000142.1	Chromosome			unplaced-scaffold	32680			TcBrA4_Contig240
GCA_015033625.1	Primary Assembly	Un			WNWZ01000143.1	Chromosome			unplaced-scaffold	28769			TcBrA4_Contig241
GCA_015033625.1	Primary Assembly	Un			WNWZ01000144.1	Chromosome			unplaced-scaffold	13528			TcBrA4_Contig242
GCA_015033625.1	Primary Assembly	Un			WNWZ01000145.1	Chromosome			unplaced-scaffold	5607			TcBrA4_Contig243
GCA_015033625.1	Primary Assembly	Un			WNWZ01000146.1	Chromosome			unplaced-scaffold	21516			TcBrA4_Contig244
GCA_015033625.1	Primary Assembly	Un			WNWZ01000147.1	Chromosome			unplaced-scaffold	36430			TcBrA4_Contig245
GCA_015033625.1	Primary Assembly	Un			WNWZ01000148.1	Chromosome			unplaced-scaffold	24081			TcBrA4_Contig246
GCA_015033625.1	Primary Assembly	Un			WNWZ01000149.1	Chromosome			unplaced-scaffold	19584			TcBrA4_Contig247
GCA_015033625.1	Primary Assembly	Un			WNWZ01000150.1	Chromosome			unplaced-scaffold	45848			TcBrA4_Contig248
GCA_015033625.1	Primary Assembly	Un			WNWZ01000151.1	Chromosome			unplaced-scaffold	19766			TcBrA4_Contig249
GCA_015033625.1	Primary Assembly	Un			WNWZ01000152.1	Chromosome			unplaced-scaffold	29739			TcBrA4_Contig24
GCA_015033625.1	Primary Assembly	Un			WNWZ01000153.1	Chromosome			unplaced-scaffold	14023			TcBrA4_Contig250
GCA_015033625.1	Primary Assembly	Un			WNWZ01000154.1	Chromosome			unplaced-scaffold	18603			TcBrA4_Contig251
GCA_015033625.1	Primary Assembly	Un			WNWZ01000155.1	Chromosome			unplaced-scaffold	14620			TcBrA4_Contig252
GCA_015033625.1	Primary Assembly	Un			WNWZ01000156.1	Chromosome			unplaced-scaffold	17135			TcBrA4_Contig253
GCA_015033625.1	Primary Assembly	Un			WNWZ01000157.1	Chromosome			unplaced-scaffold	22812			TcBrA4_Contig254
GCA_015033625.1	Primary Assembly	Un			WNWZ01000158.1	Chromosome			unplaced-scaffold	9547			TcBrA4_Contig255
GCA_015033625.1	Primary Assembly	Un			WNWZ01000159.1	Chromosome			unplaced-scaffold	12563			TcBrA4_Contig256
GCA_015033625.1	Primary Assembly	Un			WNWZ01000160.1	Chromosome			unplaced-scaffold	28718			TcBrA4_Contig257
GCA_015033625.1	Primary Assembly	Un			WNWZ01000161.1	Chromosome			unplaced-scaffold	17003			TcBrA4_Contig258
GCA_015033625.1	Primary Assembly	Un			WNWZ01000162.1	Chromosome			unplaced-scaffold	38759			TcBrA4_Contig259
GCA_015033625.1	Primary Assembly	Un			WNWZ01000163.1	Chromosome			unplaced-scaffold	10142			TcBrA4_Contig25
GCA_015033625.1	Primary Assembly	Un			WNWZ01000164.1	Chromosome			unplaced-scaffold	14392			TcBrA4_Contig260
GCA_015033625.1	Primary Assembly	Un			WNWZ01000165.1	Chromosome			unplaced-scaffold	13256			TcBrA4_Contig261
GCA_015033625.1	Primary Assembly	Un			WNWZ01000166.1	Chromosome			unplaced-scaffold	16186			TcBrA4_Contig262
GCA_015033625.1	Primary Assembly	Un			WNWZ01000167.1	Chromosome			unplaced-scaffold	16099			TcBrA4_Contig263
GCA_015033625.1	Primary Assembly	Un			WNWZ01000168.1	Chromosome			unplaced-scaffold	31337			TcBrA4_Contig264
GCA_015033625.1	Primary Assembly	Un			WNWZ01000169.1	Chromosome			unplaced-scaffold	12611			TcBrA4_Contig265
GCA_015033625.1	Primary Assembly	Un			WNWZ01000170.1	Chromosome			unplaced-scaffold	25325			TcBrA4_Contig266
GCA_015033625.1	Primary Assembly	Un			WNWZ01000171.1	Chromosome			unplaced-scaffold	12516			TcBrA4_Contig267
GCA_015033625.1	Primary Assembly	Un			WNWZ01000172.1	Chromosome			unplaced-scaffold	19084			TcBrA4_Contig268
GCA_015033625.1	Primary Assembly	Un			WNWZ01000173.1	Chromosome			unplaced-scaffold	31364			TcBrA4_Contig269
GCA_015033625.1	Primary Assembly	Un			WNWZ01000174.1	Chromosome			unplaced-scaffold	20715			TcBrA4_Contig26
GCA_015033625.1	Primary Assembly	Un			WNWZ01000175.1	Chromosome			unplaced-scaffold	10016			TcBrA4_Contig270
GCA_015033625.1	Primary Assembly	Un			WNWZ01000176.1	Chromosome			unplaced-scaffold	25083			TcBrA4_Contig271
GCA_015033625.1	Primary Assembly	Un			WNWZ01000177.1	Chromosome			unplaced-scaffold	12177			TcBrA4_Contig272
GCA_015033625.1	Primary Assembly	Un			WNWZ01000178.1	Chromosome			unplaced-scaffold	19419			TcBrA4_Contig273
GCA_015033625.1	Primary Assembly	Un			WNWZ01000179.1	Chromosome			unplaced-scaffold	17162			TcBrA4_Contig274
GCA_015033625.1	Primary Assembly	Un			WNWZ01000180.1	Chromosome			unplaced-scaffold	15485			TcBrA4_Contig275
GCA_015033625.1	Primary Assembly	Un			WNWZ01000181.1	Chromosome			unplaced-scaffold	26231			TcBrA4_Contig276
GCA_015033625.1	Primary Assembly	Un			WNWZ01000182.1	Chromosome			unplaced-scaffold	26495			TcBrA4_Contig277
GCA_015033625.1	Primary Assembly	Un			WNWZ01000183.1	Chromosome			unplaced-scaffold	5604			TcBrA4_Contig278
GCA_015033625.1	Primary Assembly	Un			WNWZ01000184.1	Chromosome			unplaced-scaffold	12683			TcBrA4_Contig279
GCA_015033625.1	Primary Assembly	Un			WNWZ01000185.1	Chromosome			unplaced-scaffold	15727			TcBrA4_Contig27
